ru4 入
shou1ru4 收入
tou2ru4 投入
jing1shen5 精神
jing1cai3 精彩
jing1hua2 精华
shen2mi4 神秘
shen2qing2 神情
zu3 组
zu3zhi1 组织
zu3cheng2 组成
xiao3zu3 小组
zu3he2 组合
fang3zhi1 纺织
jiao1zhi1 交织
bian1zhi1 编织
le4 乐
yu2le4 娱乐
le4qu4 乐趣
neng2li4 能力
nu3li4 努力
li4liang5 力量
ya1li4 压力
bu4zhi1 不知
de2zhi1 得知
xiang1 相
hu4xiang1 互相
zhu4yi4 注意
zhu4ce4 注册
guan1zhu4 关注
zhu4ming2 注明
yi4 意
yi4si5 意思
yi4yi4 意义
tong2yi4 同意
ka3 卡
ka3che1 卡车
ka3pian4 卡片
ka3te4 卡特
si4hu1 似乎
lei4si4 类似
xiang1si4 相似
hu1 乎
zai4hu5 在乎
jin4hu5 近乎
chu2 除
shan1chu2 删除
xiao1chu2 消除
xing4 性
nü3xing4 女性
xing4ge2 性格
ge4xing4 个性
nan2xing4 男性
fen4 份
gu3fen4 股份
fen4zi5 份子
cheng2fen4 成份
zhong1tou2 钟头
nao4zhong1 闹钟
zhong1lou2 钟楼
mai4 卖
pai1mai4 拍卖
chu1mai4 出卖
mai4yin2 卖淫
mai4diao4 卖掉
wei4lai2 未来
cong2wei4 从未
wei4jing1 未经
shang4wei4 尚未
da2 答
da2an4 答案
jie3da2 解答
lian2he2 联合
hu4lian2wang3 互联网
lian2he2guo2 联合国
wang3ye4 网页
zhu3ye4 主页
ye4mian4 页面
shu1ye4 书页
ming2bai5 明白
ming2tian1 明天
zheng4ming2 证明
bai2 白
bai2se4 白色
bai2jiu3 白酒
cang1bai2 苍白
zhi3chu1 指出
zhi3dao3 指导
zhi3hui1 指挥
an4 按
an4zhao4 按照
an4mo2 按摩
an4shi2 按时
an4niu3 按钮
fou3 否
shi4fou3 是否
neng2fou3 能否
fou3ren4 否认
da2dao4 达到
biao3da2 表达
dao4da2 到达
fa1da2 发达
pao3 跑
pao3bu4 跑步
tao2pao3 逃跑
