# 元语言核心
是不是意思是x "does it mean x"
x是什么意思 "what does x mean"
你能举个例子吗 "can you give an example"
有什么区别 "what's the difference"
我说得对吗 "did I say it right"
我发音对吗 "is my pronunciation correct"
这样说自然吗 "is it natural to say it this way"
{单词或想法}用中文怎么说 "how to say {word or idea} in chinese"
{物体或概念}的中文是什么 "what is the chinese for {object or concept}"
你能再说一遍吗 "can you say it again"
你能说慢一点吗 "can you speak slower"
你能纠正我吗 "can you correct me"
我哪里说错了 "what did i say wrong"
我该怎么正确地说 "how should i say it correctly"
x还有别的说法吗 "other ways to say x"
x的反义词是什么 "what is the opposite of x"
你能写{单词}吗 "can you write {word}"
你能念{单词}吗 "can you read {word} aloud"
你能拼{单词}吗 "can you spell {word}"
你能翻译{单词或短语}吗 "can you translate {word or phrase}"
你明白吗 "do you understand"
我明白 understand
我不明白 "i do not understand"
是 yes
不是 no
也许 maybe

# 概念原型
好 坏 good bad
对 错 right wrong
真 假 true false
大 小 big small
长 短 long short
高 矮 tall short
宽 窄 wide narrow
厚 薄 thick thin
重 轻 heavy light
快 慢 fast slow
早 晚 early late
近 远 near far
高 低 high low
热 冷 hot cold
暖 凉 warm cool
亮 暗 bright dark
明 暗 light dark
响 安静 loud quiet
满 空 full empty
干净 脏 clean dirty
开 关 open close
开 着 open on
开始 停止 start stop
开始 结束 start end
第一 最后 first last
里面 外面 inside outside
上 下 up down
左 右 left right
以前 以后 before after
新 旧 new old
年轻 年老 young old
容易 难 easy difficult
简单 复杂 simple complex
强 弱 strong weak
安全 危险 safe dangerous
活 死 alive dead
醒 睡 awake asleep
健康 生病 healthy sick
饿 饱 hungry full
富 穷 rich poor
贵 便宜 expensive cheap
厚 薄 thick thin
深 浅 deep shallow
近 远 near far
快乐 悲伤 happy sad
生气 冷静 angry calm
害怕 勇敢 afraid brave
爱 恨 love hate
喜欢 不喜欢 like dislike
朋友 敌人 friend enemy
相同 不同 same different
相似 相反 similar opposite
一起 独自 together alone
多 少 many few
一些 没有 some none
全部 没有 all none
足够 太少 enough too_little
给 拿 give take
买 卖 buy sell
推 拉 push pull
来 去 come go
进入 离开 enter leave
到 达 arrive depart
赢 输 win lose
成功 失败 success failure
记得 忘记 remember forget
知道 不知道 know not_know
同意 不同意 agree disagree
接受 拒绝 accept reject
相信 怀疑 believe doubt
允许 禁止 allow forbid
能 不能 can cannot
必须 不必 must need_not
希望 害怕 hope fear
上升 下降 rise fall
增加 减少 increase decrease
建造 破坏 build destroy
创造 擦除 create erase
开 关 open close
移动 停止 move stop
继续 中断 continue interrupt
留下 离开 stay leave
帮助 伤害 help harm
开始 完成 begin finish
使用 浪费 use waste
工作 休息 work rest
说 听 speak listen
问 答 ask answer
问题 答案 question answer
教 学 teach learn
显示 隐藏 show hide
找到 丢失 find lose
看见 错过 see miss
听见 忽略 hear ignore
给 收到 give receive
付 欠 pay owe
借 借出 borrow lend
开始 结束 start end
出现 消失 appear disappear
包含 排除 include exclude
记得 忘记 remember forget
爱 恨 love hate
希望 绝望 hope despair
笑 哭 laugh cry
赢 输 win lose
开 关 open close
增加 减少 increase decrease
开始 停止 start stop
推 拉 push pull
坐 站 sit stand
到 达 arrive reach
留下 离开 stay leave
存在 消失 exist vanish
来 离开 come leave

# 语法
"因为x，所以y" "because x therefore y"
"如果x，那么y" "if x then y"
"尽管x，仍然y" "even though x still y"
"不但x而且y" "not only x but also y"
"一x就y" "as soon as x then y"
"只要x，就y" "as long as x y"
"越x越y" "the more x the more y"
"x比z更y" "x is more y than z"
"x没有z那么y" "x is not as y as z"
有x "there is x"
没有x "there is no x"
"我在做x" "i am doing x"
"我快要x了" "i am about to x"
"我已经x了" "i have done x"
"我还没x" "i have not done x"
"我会x" "i will x"
"我能x" "i can x"
"我不能x" "i cannot x"
"我喜欢x" "i like x"
"我不喜欢x" "i do not like x"
"我想x" "i want to x"
"我不想x" "i do not want to x"
多少 "how many or how much"
太y "too y"
很y "very y"
有点y "a bit y"
一点也不y "not y at all"
好像x "it seems that x"
我觉得x "i think that x"
"虽然x，但是y" "although x still y"
"不是x而是y" "not x but y"
"不x而y" "instead of x do y"
"只有x才y" "only if x y"
"即使x，也y" "even if x y"
"当x时，y" "when x y"
"x以后，y" "after x y"
"x以前，y" "before x y"
为了y "for the sake of y"
以便y "so that y"
"没有x就y" "without x then y"
"因为y所以x" "because y therefore x"
"尽管y也x" "even though y still x"
"我在{地方}" "i am at {place}"
"我要去{地方}" "i am going to {place}"
"我从{地方}来" "i come from {place}"
"我在路上" "i am on the way"
"{东西或人}在哪儿" "where is {thing or person}"
过来 "come here"
去那儿 "go there"
"我很高兴、难过、累" "i am happy sad tired"
我觉得x "i feel x"
"看起来/听起来/感觉起来/尝起来像x" "looks sounds feels tastes like x"
"我经常做x" "i often do x"
"我有时候做x" "i sometimes do x"
"我很少做x" "i rarely do x"
"我从不做x" "i never do x"
请x "please x"
"你能x吗" "can you x"
"我们x吧" "let’s x"
"我应该x吗" "should i x"
变成x "become x"
越来越x "more and more x"
不再x "no longer x"
真x "really x"
一点也不x "not x at all"
正是x "exactly x"
甚至x "even x"
"只有这样才x" "only this way can x"
"我从来没x" "i have never x"
"我已经x了" "i have already x"
"我还没x" "i have not yet x"
"我可能会x" "i might x"
"我没想到x" "i did not expect x"
原来x "it turns out x"
一般x "generally x"
通常x "usually x"
比如x "for example x"
"一方面x，另一方面y" "on one hand x on the other hand y"
根据x "according to x"
至于x "as for x"
否则y "otherwise y"
