的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
别的 bie2de5 else; other"
了 liao3 钌憭蓼  1 "为了 到了 了解 除了" "了 le5 (completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)
为了 wei4le5 for; for the purpose of; in order to
到了 dao4liao3 at last; finally; in the end
了解 liao3jie3 to understand; to realize; to find out; to understand; to realize; to find out
除了 chu2le5 besides; apart from (... also...); in addition to; except (for)"
我 wo3  "戈 ge1, 弋 yi4" 2 "我们 我国 自我 我方" "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
我国 wo3guo2 our country; china
自我 zi4wo3 self-; ego (psychology)
我方 wo3fang1 our side; we"
一 yi1 衣洢壹依猗噫祎伊  3 "第一 一些 一样 一起" "一 yi1 one; single; a (article); as soon as; entire; whole; all; throughout
第一 di4yi1 first; number one; primary
一些 yi1xie1 some; a few; a little; (following an adjective) slightly ...er
一样 yi1yang4 same; like; equal to; the same as; just like
一起 yi1qi3 in the same place; together; with; altogether (in total)"
在 zai4 载再 "土 tu3, 十 shi2" 4 "现在 正在 存在 在于" "在 zai4 to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)
现在 xian4zai4 now; at present; at the moment; modern; current; nowadays
正在 zheng4zai4 just at (that time); right in (that place); right in the middle of (doing sth)
存在 cun2zai4 to exist; to be; existence
在于 zai4yu2 to be in; to lie in; to consist in; to depend on; to rest with"
是 shi4 舐栻螫柿恃示式试 "日 ri4, 囗 wei2, 人 ren2" 5 "就是 不是 还是 但是" "是 shi4 to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)
就是 jiu4shi4 exactly; precisely; only; simply; just; even if
不是 bu2shi5 fault; blame
还是 hai2shi5 still (as before); had better; unexpectedly; or
但是 dan4shi4 but; however"
他 ta1 铊褟趿她溻它塌遢 "也 ye3, 乜 mie1" 6 "他们 其他 他人 他乡" "他 ta1 he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other
他们 ta1men5 they
其他 qi2ta1 other; (sth or sb) else; the rest
他人 ta1ren2 another; sb else; other people
他乡 ta1xiang1 foreign land; away from one's native place"
个 ge4 虼各铬硌  7 "这个 那个 个人 整个" "个 ge4 (classifier used before a noun that has no specific classifier); (bound form) individual
这个 zhe4ge5 (pronoun) this; (adjective) this
