嘎 "cackling sound"
垄 "ridge between fields; row of crops; grave mound"
戳 "to jab; to poke; to stab; (coll.) to sprain; to blunt; to fuck (vulgar); to stand; to stand (sth) upright; stamp; seal"
拘 "to capture; to restrain; to constrain; to adhere rigidly to; inflexible"
奢 extravagant
翁 "elderly man; father; father-in-law"
颊 cheeks
嚷 "to shout; to bellow; to make a big deal of sth; to make a fuss about sth"
熏 "to smoke; to fumigate; to assail the nostrils; to perfume; fragrance; warm; to educate; to smoke; to fumigate"
汪 "expanse of water; ooze; classifier for liquids: pool, puddle"
削 "to pare; to reduce; to remove"
虐 "oppressive; tyrannical"
炫 "to dazzle; to boast; to show off; (slang) cool; awesome"
咧 "to draw back the corners of one's mouth"
妥 "suitable; adequate; ready; settled"
饶 "rich; abundant; exuberant; to add for free; to throw in as bonus; to spare; to forgive; despite; although"
肮 "dirty; filthy"
癌 "cancer; carcinoma"
撇 "to cast away; to fling aside"
勺 "spoon; ladle"
袍 "gown (lined)"
咪 "sound for calling a cat"
垮 "to collapse (lit. or fig.)"
坟 "grave; tomb; embankment; mound"
潘 "pan, faun in greek mythology, son of hermes"
冤 "injustice; grievance; wrong"
甭 "please don't"
屯 "to station (soldiers); to store up; village"
瞟 "to cast a glance"
涔 "overflow; rainwater; tearful"
踹 "to kick; to trample; to tread on"
轴 "axis; axle; spool (for thread); roller (for scrolls); classifier for calligraphy rolls etc"
赁 "to rent"
砰 thump
酿 "to ferment; to brew; to make honey (of bees); to lead to; to form gradually; wine; stuffed vegetables (cooking method)"
簸 "to winnow; to toss up and down"
攥 "(coll.) to hold; to grip; to grasp"
涮 "to rinse; to trick; to fool sb; to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table)"
哽 "to choke with emotion; to choke on a piece of food"
绷 "to have a taut face"
挠 "to scratch; to thwart; to yield"
凹 "depressed; sunken; indented; concave; female (connector etc)"
掰 "to break off or break open sth with one's hands; (fig.) to break off (a relationship)"
抠 "to dig out; to pick out (with one's fingers); to carve; to cut; to study meticulously; to lift one's clothes; stingy; miserly"
魁 "chief; head; outstanding; exceptional; stalwart"
寡 "few; scant; widowed"
谬 "to deceive; to confuse; to cheat; absurd; erroneous"
拴 "to tie up"
筐 basket
囊 "sack; purse; pocket (for money)"
喵 "cat's mewing"
剖 "to cut open; to analyze"
耕 "to plow; to till"
卯 "mortise (slot cut into wood to receive a tenon); to exert one's strength"
耸 "to excite; to raise up; to shrug; high; lofty; towering"
呸 "to spit (in contempt)"
凿 "chisel; to bore a hole; to chisel or dig; (literary) (bound form) certain; authentic; irrefutable"
肘 "elbow; pork shoulder"
茄 eggplant
闸 "sluice; lock (on waterway); gear; brake; sluice; lock (on waterway); electric switch or circuit breaker"
淆 "confused and disorderly; mixed"
辍 "to stop (before completion); to cease; to suspend"
颓 "to crumble; to collapse; to decline; to decay; decadent; dejected; dispirited; balding"
撩 "to lift up (sth hanging down); to raise (hem of skirt); to pull up (sleeve); to sprinkle (water with cupped hands)"
嚼 "to chew"
秤 "steelyard; roman balance"
筛 "to filter; to sift; to sieve"
搀 "to take by the arm and assist; to mix; to blend; to dilute; to adulterate"
碾 "stone roller; roller and millstone; to grind; to crush; to husk"
囔 "muttering, indistinct speech"
朽 rotten
鼾 "snore; to snore"
沁 "to seep; to percolate"
袄 "coat; jacket; short and lined coat or robe"
厦 "tall building; mansion; rear annex; lean-to"
蕊 "stamen; pistil"
唾 "saliva; to spit"
卵 "egg; ovum; spawn; (coll.) testicles; (expletive) fucking"
蹿 "to leap up; (coll.) to gush out; to spurt out"
髓 "marrow; essence; quintessence; pith (soft interior of plant stem)"
泞 muddy
瓢 "dipper; ladle"
摁 "to press (with one's finger or hand)"
撅 "to protrude; to stick out; to embarrass (people)"
噜 "grumble; chatter"
瘸 lame
瘪 "deflated; shriveled; sunken; empty"
剌 "to slash"
拈 "to nip; to grasp with the fingers; to fiddle with"
